item_id,item_name,sku,opening_stock,quantity_in,quantity_out,closing_stock,purchase_account_name,sku
2968232000000088640,Boys Tops-Jacket 9-12 months,BOY-JKT-009M,2.00,0.00,2.00,0.00,Cost of Goods Sold,BOY-JKT-009M
2968232000000088651,Boys Tops-Jacket 12 months,BOY-JKT-012M,43.00,0.00,0.00,43.00,Cost of Goods Sold,BOY-JKT-012M
2968232000000088662,Boys Tops-Jacket 18 months,BOY-JKT-018M,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-JKT-018M
2968232000000088673,Boys Tops-Jacket 24 months/2T,BOY-JKT-02T,27.00,0.00,0.00,27.00,Cost of Goods Sold,BOY-JKT-02T
2968232000000088684,Boys Tops-Jacket 3T,BOY-JKT-03T,-1.00,41.00,0.00,40.00,Cost of Goods Sold,BOY-JKT-03T
2968232000000088695,Boys Tops-Jacket 4T,BOY-JKT-04T,4.00,0.00,3.00,1.00,Cost of Goods Sold,BOY-JKT-04T
2968232000000088706,Boys Tops-Jacket 5T/5,BOY-JKT-05T,31.00,1.00,4.00,28.00,Cost of Goods Sold,BOY-JKT-05T
2968232000000088717,Boys Tops-Jacket 6,BOY-JKT-06,41.00,3.00,0.00,44.00,Cost of Goods Sold,BOY-JKT-06
2968232000000088728,Boys Tops-Jacket 7 (Small),BOY-JKT-07,12.00,1.00,1.00,12.00,Cost of Goods Sold,BOY-JKT-07
2968232000000088739,Boys Tops-Jacket 8 (Small),BOY-JKT-08,1.00,12.00,4.00,9.00,Cost of Goods Sold,BOY-JKT-08
2968232000000088750,Boys Tops-Jacket 10 (Med),BOY-JKT-10,2.00,0.00,2.00,0.00,Cost of Goods Sold,BOY-JKT-10
2968232000000088761,Boys Tops-Jacket 12 (Med),BOY-JKT-12,-3.00,7.00,3.00,1.00,Cost of Goods Sold,BOY-JKT-12
2968232000000088772,Boys Tops-Jacket 14 (Large),BOY-JKT-14,18.00,0.00,10.00,8.00,Cost of Goods Sold,BOY-JKT-14
2968232000000088783,Boys Tops-Jacket 16 (Large),BOY-JKT-16,0.00,1.00,0.00,1.00,Cost of Goods Sold,BOY-JKT-16
2968232000000088794,Boys Tops-Jacket 18 (XL),BOY-JKT-18,3.00,4.00,1.00,6.00,Cost of Goods Sold,BOY-JKT-18
2968232000000088805,Boys Tops-Jacket 20 (XL),BOY-JKT-20,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-JKT-20
2968232000000088816,Boys Coats 0-3 months,BOY-COT-000M,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-COT-000M
2968232000000088827,Boys Coats 3-6 months,BOY-COT-003M,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-COT-003M
2968232000000088838,Boys Coats 6-9 months,BOY-COT-006M,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-COT-006M
2968232000000088849,Boys Coats 9-12 months,BOY-COT-009M,0.00,0.00,0.00,0.00,Cost of Goods Sold,BOY-COT-009M
